order_id,order_date,ship_date,status,sales_channel,ship_mode,product_uin,shipment_status,qty,amount,ship_postal_code,emp_code,customer_id
405-8078784-5731545,8/17/2025,8/24/2025,Cancelled,BOPIS,Pickup,B09KXVBD7Z,,1,"4,589.30",400081,E-347,AH-10210
403-9615377-8133951,8/2/2025,8/6/2025,Cancelled,Store Sale,Economy 10,B099NRCT7B,,1,"4,587.50",605008,E-350,CS-12355
407-5443024-5233168,7/11/2025,7/15/2025,Cancelled,Partner Sale,Express 3,B08L91ZZXN,Cancelled,1,"4,585.30",500008,E-355,NC-18535
404-6019946-2909948,5/4/2025,5/10/2025,Cancelled,Store Sale,Economy 10,B099NK55YG,,1,"4,578.70",411044,E-011,CM-12115
404-5933402-8801952,3/27/2025,4/2/2025,Cancelled,Partner Sale,Standard 7,B07JG3CND8,,1,"4,574.90",781003,E-017,BD-11635
171-4137548-0481151,10/9/2024,10/18/2024,Cancelled,BOPIS,Pickup,B082W8RWN1,Cancelled,1,"4,558.30",389151,E-059,MP-18175
404-6522553-9345930,7/21/2024,7/27/2024,Cancelled,Partner Sale,Express 3,B09TZV23QS,,1,"4,550.00",248001,E-073,DV-13045
403-9950518-0349133,7/16/2024,7/23/2024,Cancelled,Partner Sale,Express 3,B08WPR5MCB,Cancelled,1,"4,549.60",500072,E-074,RS-19870
405-9112089-3379536,5/28/2024,6/3/2024,Cancelled,Ecomm,Same Day 0,B081WSCKPQ,Cancelled,1,"4,544.60",411046,E-085,LE-16810
402-7841951-1872363,4/13/2024,4/17/2024,Cancelled,Ecomm,Economy 10,B09RKDJ9SQ,Cancelled,1,"4,539.90",110036,E-091,DB-12910
171-0293372-4913973,12/14/2023,12/22/2023,Cancelled,BOPIS,Pickup,B0983FSRFS,Cancelled,1,"4,528.20",563101,E-461,CC-12430
403-6442534-2769112,11/3/2023,11/6/2023,Cancelled,Partner Sale,Same Day 0,B099S7RDLZ,Cancelled,1,"4,523.60",276302,E-468,BP-11185
402-8078642-8565124,8/10/2023,8/12/2023,Cancelled,Partner Sale,Economy 10,B09TZVXQ1J,Cancelled,1,"4,515.00",752002,E-137,YC-21895
406-0218328-1773963,6/24/2023,6/27/2023,Cancelled,Store Sale,Express 3,B09LD3PMBT,Cancelled,1,"4,510.40",632513,E-147,CS-12355
171-1224053-5752314,4/11/2023,4/14/2023,Cancelled,Store Sale,Economy 10,B0986XYFFP,,1,"4,503.00",560087,E-156,JB-15400
171-6336729-6763536,3/29/2023,3/31/2023,Cancelled,BOPIS,Pickup,B09KXV4BN8,Unshipped,1,"4,501.60",560037,E-159,JP-15520
408-9692204-9817146,8/17/2025,8/19/2025,Cancelled,Store Sale,Express 3,B09NQ4NM75,Unshipped,1,"4,588.80",421306,E-170,BD-11635
402-9339129-6219537,8/17/2025,8/20/2025,Cancelled,BOPIS,Pickup,B0894XKVH3,Unshipped,1,"4,588.90",570016,E-171,SE-20110
403-4337144-0984323,8/11/2025,8/17/2025,Cancelled,Partner Sale,Express 3,B0986XSXR1,Cancelled,1,"4,588.60",180007,E-182,DB-13660
403-5456917-5571511,7/28/2025,8/2/2025,Cancelled,Partner Sale,Standard 7,B09SDZ14KR,Cancelled,1,"4,587.10",201014,E-191,GB-14575
404-0634392-1837110,5/27/2025,5/31/2025,Cancelled,Store Sale,Economy 10,B0986XYHCY,Cancelled,1,"4,580.80",444105,E-556,AA-10375
404-8514200-3544346,4/22/2025,4/26/2025,Cancelled,Store Sale,Express 3,B081WY1SP3,Cancelled,1,"4,577.30",560036,E-563,LS-16975
404-7452877-2137949,4/17/2025,4/22/2025,Cancelled,Store Sale,Express 3,B09K3W2LHF,,1,"4,576.90",560036,E-564,AW-10840
402-2703790-2816329,4/12/2025,4/19/2025,Cancelled,Store Sale,Standard 7,B08QGNW2H8,,1,"4,576.60",828111,E-565,CC-12220
407-5600921-2143569,1/25/2025,2/2/2025,Cancelled,BOPIS,Pickup,B09K3JVNR1,,1,"4,569.00",560067,E-576,KH-16510
404-1607808-0769930,1/19/2025,4/4/2025,Cancelled,Partner Sale,Standard 7,B0983DQLBQ,Cancelled,1,"4,575.10",800001,E-231,DL-13315
171-5719664-5449151,11/8/2024,11/11/2024,Cancelled,Partner Sale,Same Day 0,B09NDKGZ6V,Unshipped,1,"4,560.70",560042,E-240,DO-13645
402-0043314-1059527,7/18/2024,7/24/2024,Cancelled,Store Sale,Express 3,B09831YHGV,Unshipped,1,"4,549.70",480661,E-255,JK-16090
403-0906375-2269150,2/16/2024,2/20/2024,Cancelled,Ecomm,Economy 10,B08YZ1SZDH,Unshipped,1,"4,534.20",451224,E-273,HP-14815
407-5096970-7475550,1/31/2024,2/4/2024,Cancelled,BOPIS,Pickup,B08BJSDK5J,,1,"4,532.60",241001,E-274,PN-18775
407-9707366-3029944,1/7/2024,1/11/2024,Cancelled,Partner Sale,Standard 7,B085HMWJ4R,,1,"4,530.20",110074,E-277,VP-21730
402-1365379-0131533,12/30/2023,1/2/2024,Cancelled,Partner Sale,Same Day 0,B0894XYMWS,Cancelled,1,"4,529.30",503111,E-278,MZ-17335
403-2079921-1244300,12/13/2023,12/18/2023,Cancelled,Partner Sale,Economy 10,B08YZ1SZDH,Unshipped,1,"4,527.80",454552,E-280,TT-21070
402-8019936-6115500,12/4/2023,12/11/2023,Cancelled,Partner Sale,Economy 10,B0894XKVH3,Unshipped,1,"4,527.10",570016,E-480,RB-19795
406-6711228-7576354,11/25/2023,12/1/2023,Cancelled,Partner Sale,Standard 7,B099NR3NXY,Unshipped,1,"4,526.10",560037,E-281,RH-19495
402-3621298-2630741,8/25/2023,8/30/2023,Cancelled,Partner Sale,Express 3,B0894XKVH3,Unshipped,1,"4,516.80",570016,E-289,AH-10075
402-3595365-1666728,5/8/2023,5/15/2023,Cancelled,Store Sale,Express 3,B09NPXCZZG,Unshipped,1,"4,506.10",201301,E-298,RO-19780
171-9620288-8918704,1/20/2023,1/26/2023,Cancelled,Ecomm,Standard 7,B08MYTQ4F9,Cancelled,1,"4,495.20",263642,E-238,SC-20440
404-6026001-1717923,7/18/2022,7/26/2022,Cancelled,Store Sale,Same Day 0,B09K3WC7DN,,1,"4,476.80",222001,E-336,CK-12205
404-4026534-0431517,7/5/2022,7/14/2022,Cancelled,Partner Sale,Same Day 0,B089B2WLM2,Cancelled,1,"4,475.60",413001,E-337,LP-17080
404-5848202-7366725,8/11/2025,8/15/2025,Cancelled,BOPIS,Pickup,B09SDYNZQ5,,1,"4,588.40",500056,E-098,NC-18415
171-5542306-9306709,7/30/2025,8/6/2025,Cancelled,Store Sale,Standard 7,B099NS3FWG,Cancelled,1,"4,587.50",411019,E-476,JB-16000
404-5867260-9073129,7/26/2025,7/29/2025,Cancelled,Store Sale,Economy 10,B09812MNZC,,1,"4,586.70",600091,E-232,GG-14650
408-8501185-0578768,7/16/2025,7/20/2025,Cancelled,Ecomm,Economy 10,B08YNK9K8F,Unshipped,1,"4,585.80",605008,E-142,JK-15370
403-6818986-3510737,7/4/2025,7/8/2025,Cancelled,Partner Sale,Economy 10,B08B3YWTLK,Unshipped,1,"4,584.60",560036,E-060,BW-11065
171-4549643-0067500,6/30/2025,7/8/2025,Cancelled,Partner Sale,Express 3,B07H7F6SKC,Cancelled,1,"4,584.60",444101,E-235,DW-13480
171-4643830-2345965,5/27/2025,5/31/2025,Cancelled,BOPIS,Pickup,B09RKFHRZF,,1,"4,580.80",400101,E-282,SG-20890
407-3630361-4581152,4/2/2025,4/7/2025,Cancelled,Partner Sale,Standard 7,B091Q8BKLW,Cancelled,1,"4,575.40",632004,E-012,NM-18520
407-5524319-6977912,2/22/2025,2/26/2025,Cancelled,Partner Sale,Express 3,B09K3XLB6S,Cancelled,1,"4,571.40",682301,E-174,DB-13360
407-6861831-9368312,12/2/2024,12/9/2024,Cancelled,BOPIS,Pickup,B09NDKGZ6V,Cancelled,1,"4,563.50",781120,E-007,KS-16300
406-4290163-4557960,11/26/2024,11/29/2024,Cancelled,Store Sale,Express 3,B082W8354V,Unshipped,1,"4,562.50",500090,E-007,KB-16315
404-7760595-7490722,11/20/2024,11/22/2024,Cancelled,Store Sale,Same Day 0,B081WT6GG7,Unshipped,1,"4,561.80",562101,E-015,RM-19750
402-2892726-4411563,9/6/2024,9/10/2024,Cancelled,Partner Sale,Same Day 0,B08TRHNH61,Unshipped,1,"4,554.50",400078,E-334,RR-19315
408-8960391-6097167,8/9/2024,8/12/2024,Cancelled,Store Sale,Express 3,B09K3WFS32,Cancelled,1,"4,551.60",401107,E-558,DK-13375
405-4491602-9761902,5/15/2024,5/19/2024,Cancelled,Store Sale,Economy 10,B099NTSTM2,Cancelled,1,"4,543.10",497235,E-474,JE-16165
408-4378624-3886712,4/21/2024,7/6/2024,Cancelled,Store Sale,Same Day 0,B09SDZ78G7,Cancelled,1,"4,547.90",201012,E-111,DK-12835
408-7342331-1733136,3/20/2024,3/25/2024,Cancelled,Ecomm,Express 3,B0743FF612,Cancelled,1,"4,537.60",413701,E-084,LH-16900
402-1721558-6618710,3/12/2024,3/19/2024,Cancelled,BOPIS,Pickup,B09KXR4JZB,,1,"4,537.00",506330,E-337,DB-12910
407-6910434-1793162,1/7/2024,1/11/2024,Cancelled,Store Sale,Express 3,B08YZ1GSGW,Cancelled,1,"4,530.20",768004,E-007,DM-13345
404-0553710-6997951,12/13/2023,12/17/2023,Cancelled,Store Sale,Express 3,B08YZ1HZ7B,Cancelled,1,"4,527.70",390011,E-331,EG-13900
407-1181422-6183500,8/25/2023,8/31/2023,Cancelled,BOPIS,Pickup,B09KXV4TTM,Cancelled,1,"4,516.90",575002,E-083,SM-20950
