order_id,order_date,ship_date,status,sales_channel,ship_mode,product_uin,shipment_status,qty,local currency,ship_postal_code,emp_code,customer_id,Currency
402-2836116-6557156,5/14/2025,05/19/2022 02:40:06 PM,Shipped,Partner Sale,Express 3,B09J555F7G,Shipped,1,75329.14,560045,E-233,KH-16690,22
407-2869886-7147555,5/14/2025,05/18/2022 07:20:43 PM,Shipped - Returned to Seller,Partner Sale,Express 3,B09SDXPCRB,Shipped,1,41987.70,500010,E-011,CM-12385,8
407-0499335-7869956,5/14/2025,05/18/2022 01:49:33 PM,Shipped,Partner Sale,Standard 7,B099S8X47K,Shipped,1,32780.65,201011,E-002,CG-12520,3
407-2608213-2213159,5/14/2025,05/21/2022 10:00:06 AM,Shipped,Partner Sale,Express 3,B09K3S4P57,Shipped,1,379021.57,425305,E-198,JL-15505,16
405-8830141-4106737,5/14/2025,05/17/2022 01:05:54 PM,Shipped,Partner Sale,Express 3,B081WY1SP3,Shipped,1,476345.46,400083,E-476,NF-18475,18
408-9897069-7435549,5/14/2025,05/19/2022 03:27:22 PM,Shipped,Partner Sale,Economy 10,B09TZSN6PK,Shipped,1,0.00,110088,E-331,AB-10060,1
404-9106012-7938733,5/14/2025,05/21/2022 01:31:43 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09HM9HC4T,Shipped,1,14666.13,500060,E-347,MD-17860,15
171-5808219-7544346,5/14/2025,05/21/2022 01:09:53 PM,Shipped,Partner Sale,Express 3,B09KXVPJ7M,Shipped,1,40301.75,632002,E-094,BS-11665,3
406-8449006-6683508,5/14/2025,05/17/2022 03:51:36 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B0965L4WB7,Shipped,1,30660.28,110092,E-325,JH-16180,8
404-9591174-7515540,5/14/2025,05/17/2022 03:58:50 PM,Shipped,Partner Sale,Express 3,B08W9KCKQD,Shipped,1,52349.39,623503,E-074,KD-16615,7
402-1045198-3061142,5/14/2025,05/16/2022 04:07:53 PM,Shipped,Partner Sale,Express 3,B09K3TM23D,Shipped,1,14070.41,600127,E-465,NP-18325,15
406-2076284-2496324,5/14/2025,05/19/2022 05:50:55 PM,Shipped,Partner Sale,Express 3,B09TH7HWBM,Shipped,1,111873.25,302021,E-018,PB-18805,22
