order_id,order_date,ship_date,status,sales_channel,ship_mode,product_uin,shipment_status,qty,amount,ship_postal_code,emp_code,customer_id
408-5748499-6859555,7/22/2025 9:06,7/26/2025 9:04,Shipped,Parner Sale,Express 3,B08CMHNWBN,Shipped,1,"$5,527.45 ",160036,E-353,JG-153100
403-4242957-8599555,2/7/2025 15:00,2/10/2025 14:58,Shipped,Parner Sale,Express 3,B081WSCKPQ,Shipped,1,"$3,377.42 ",695011,E-037,SH-199753
407-2189901-7515567,8/24/2024 11:27,8/28/2024 12:14,Shipped - Delivered to Buyer,Store Sale,Standard 7,B09K3YFPSS,Shipped,1,"$5,341.23 ",560001,E-066,TB-211905
405-0882561-5952340,3/11/2024 12:50,3/15/2024 15:39,Shipped,Ecomm,Economy 10,B09K3LJWBB,Shipped,1,"$5,857.57 ",700156,E-096,BF-110058
406-9021273-9221106,9/28/2023 16:32,10/2/2023 11:15,Shipped,Store Sale,Express 3,B091SV9XW1,Shipped,1,"$5,840.64 ",781026,E-473,BM-111401
407-4097885-3129958,4/16/2023 15:51,4/19/2023 11:30,Shipped - Delivered to Buyer,Store Sale,Economy 10,B09B3GS5CM,Shipped,1,"$3,275.84 ",401202,E-356,JH-159104
171-1068229-1581965,8/8/2025 13:03,8/11/2025 14:08,Shipped,Parner Sale,Standard 7,B099NQT8H8,Shipped,1,"$3,800.65 ",700064,E-185,VF-217157
408-2759943-9849959,5/22/2025 14:07,5/25/2025 13:49,Shipped,Store Sale,Same Day 0,B09TH61GMF,Shipped,1,"$11,325.77 ",700051,E-557,GP-147409
408-3475592-6193128,12/8/2024 10:47,12/10/2024 19:51,Shipped,Parner Sale,Economy 10,B08KRTXC2Y,Shipped,1,"$3,377.42 ",586212,E-235,FH-143653
402-4646784-8411501,4/29/2024 9:27,5/1/2024 12:17,Shipped - Delivered to Buyer,Parner Sale,Standard 7,B0828PD16L,Shipped,1,"$3,986.87 ",134107,E-265,AG-105256
